"SUB_ID","QC_Left_Lateral","Comments_1","QC_Left_Medial","QC_Right_Lateral","QC_Right_Medial"
"50002","","","","",""
"50003","","noise","","2","2"
"50004","","noise","","",""
"50005","","","","",""
"50006","","","","",""
"50007","","noise","","","2"
"50008","","","","",""
"50009","","","","",""
"50010","","","","",""
"50011","","","","",""
"50012","","","","",""
"50013","","noise","","",""
"50014","","noise","","2","2"
"50015","","noise","","2","2"
"50016","","","","",""
"50017","3","noise","3","3","3"
"50019","","","","",""
"50020","2","temporal","","",""
"50022","","","","",""
"50023","","","","",""
"50024","","","","",""
"50025","","","","",""
"50026","","","","",""
"50027","","","","",""
"50028","","","","",""
"50029","","","","",""
"50030","","","","",""
"50031","","noise","","2",""
"50032","","","","",""
"50033","","","","",""
"50034","","","","",""
"50035","","","","",""
"50036","","","","",""
"50037","","","","",""
"50038","","","","",""
"50039","","","","",""
"50040","","","","",""
"50041","","","","",""
"50042","","","","",""
"50043","","","","",""
"50044","","","","",""
"50045","","","","",""
"50046","","","","",""
"50047","","","","",""
"50048","","","","",""
"50049","","","","",""
"50050","","","","",""
"50051","2","scalp","","2",""
"50052","","","","",""
"50053","2","noise","2","2","2"
"50054","","noise","","2",""
"50055","","","","",""
"50056","","","","",""
"50057","","","","",""
"50058","","","","",""
"50059","","","","",""
"50060","","","","",""
"50102","2","noise temporal","2","2","2"
"50103","2","noise temporal","2","2","2"
"50104","","","","",""
"50105","2","noise","","2",""
"50106","2","noise temporal","2","2","2"
"50107","","","","",""
"50108","","","","",""
"50109","2","noise","","2",""
"50110","3","noise","3","3","3"
"50111","","noise","","",""
"50112","","","","",""
"50113","","","","",""
"50114","","","","",""
"50115","","","","",""
"50116","","","","",""
"50117","","","","",""
"50118","","noise","","",""
"50119","","","","",""
"50120","2","temporal noise","2","2","2"
"50121","","","","",""
"50122","3","noise temporal","2","3","3"
"50123","","","","",""
"50124","","noise","","",""
"50125","2","temporal","2","",""
"50126","3","noise temporal","2","3","2"
"50127","2","temporal","2","",""
"50128","","noise","","",""
"50129","3","noise temporal","2","3","3"
"50130","","","","",""
"50131","","","","",""
"50132","","noise","","",""
"50133","3","noise","3","3","3"
"50134","","","","",""
"50135","2","noise temporal","2","2","2"
"50136","3","noise","3","3","3"
"50137","3","noise frontal post?","3","2",""
"50142","","","","",""
"50143","","","","",""
"50144","","","","",""
"50145","","","","",""
"50146","","","","",""
"50147","","","","",""
"50148","","","","",""
"50149","","","","",""
"50150","","","","",""
"50152","","","","",""
"50153","","","","",""
"50155","","","","",""
"50156","","","","",""
"50157","2","noise","","",""
"50158","","","","",""
"50159","","","","",""
"50160","","","","",""
"50161","","","","",""
"50162","","","","",""
"50163","","","","",""
"50164","","noise","","",""
"50165","","","","",""
"50166","","","","",""
"50167","","","","",""
"50168","","","","",""
"50169","2","noise","","2",""
"50170","","","","",""
"50171","2","noise","2","2","2"
"50182","3","noise","3","3","3"
"50183","","","","",""
"50184","3","noise","2","3","2"
"50185","3","noise","3","3","3"
"50186","3","noise","3","3","2"
"50187","","","","",""
"50188","2","noise","","2",""
"50189","3","noise temporal","3","3","3"
"50190","3","noise","3","3","3"
"50191","3","noise","3","3","3"
"50192","3","noise bad segmentation","3","3","3"
"50193","","","","",""
"50194","","noise","","2",""
"50195","3","noise scalp temporal ?","2","3","2"
"50196","","noise","","2","2"
"50197","3","noise","2","3","3"
"50198","2","noise temporal","2","3","2"
"50199","","","","",""
"50200","3","noise","3","3","2"
"50201","3","noise","","3","2"
"50202","2","temporal noise","2","2","2"
"50203","","","","",""
"50204","2","noise ","","2","2"
"50205","","","","",""
"50206","2","noise","","2",""
"50207","3","noise","2","3","3"
"50208","","","","",""
"50209","","","","",""
"50210","2","noise","","2",""
"50211","3","noise","3","3","3"
"50212","3","noise","3","3","3"
"50213","","noise","","",""
"50214","","","","",""
"50215","","noise","","2",""
"50216","3","noise","2","3","2"
"50217","2","noise","2","3","2"
"50232","","","","",""
"50233","","","","",""
"50234","","","","",""
"50235","","","","",""
"50236","","","","",""
"50237","","","","",""
"50238","","","","",""
"50239","","","","",""
"50240","","","","",""
"50241","","","","",""
"50242","","noise","","2","2"
"50243","","","","",""
"50244","","","","",""
"50245","","","","",""
"50246","","noise","","",""
"50247","","","","",""
"50248","","","","",""
"50249","","","","",""
"50250","","","","",""
"50251","","","","",""
"50252","","","","",""
"50253","","","","",""
"50254","","","","",""
"50255","","","","",""
"50257","","","","",""
"50259","","","","",""
"50260","","","","",""
"50261","","","","",""
"50262","","","","",""
"50263","","","","",""
"50264","","","","",""
"50265","2","noise","","3","2"
"50266","","","","",""
"50267","","","","",""
"50268","","","","",""
"50269","","","","",""
"50270","","","","",""
"50271","","","","",""
"50272","3","bad segmentation3","3","3","3"
"50273","0","","","",""
"50274","0","","","",""
"50275","2","noise","","3","2"
"50276","0","","","",""
"50277","0","","","",""
"50278","3","noise","","3","2"
"50279","4","unusual folding, same subject 50286","","",""
"50280","3","noise","","3",""
"50281","3","noise","2","3","3"
"50282","","noise some scalp","","2","2"
"50283","0","","","",""
"50284","3","noise","2","3","2"
"50285","2","noise","","2",""
"50286","4","same subject 50279","","",""
"50287","0","","","",""
"50288","0","","","",""
"50289","3","noise","","3","2"
"50290","3","noise temporal","","3",""
"50291","3","noise temporal","","2",""
"50292","2","noise temporal","","3",""
"50293","2","noise","","3",""
"50294","","","","",""
"50295","2","noise temporal","","3","2"
"50296","3","noise","","3","2"
"50297","2","noise","","2","2"
"50298","3","noise temporal","","3","3"
"50299","3","noise","3","3","3"
"50300","2","noise temporal","","3","3"
"50301","","noise","","",""
"50302","2","noise temporal","","3","2"
"50303","3","noise","3","3","3"
"50304","3","noise","2","3","3"
"50305","3","noise","","3","3"
"50306","3","noise","2","3","3"
"50307","3","noise","2","3","2"
"50308","3","noise temporal","","3","3"
"50309","0","","","",""
"50310","2","noise","","2",""
"50311","3","noise","3","3","3"
"50312","3","noise temporal","","","2"
"50313","0","","","",""
"50314","","noise temporal","","2","2"
"50315","","noise","","2","2"
"50316","3","noise","3","3","3"
"50317","3","noise","3","3","3"
"50318","2","noise temporal","","3",""
"50319","2","noise","","2",""
"50320","2","noise","","2",""
"50321","","","","",""
"50322","3","noise","3","3","3"
"50323","0","","","",""
"50324","2","noise","","2",""
"50325","3","noise temporal","","3","2"
"50326","3","noise scalp","2","3","3"
"50327","0","","","",""
"50328","0","","","",""
"50329","","","","",""
"50330","2","noise","","2",""
"50331","2","noise","","2",""
"50332","3","noise","2","3","2"
"50333","","noise","","2",""
"50334","2","noise temporal","2","3","2"
"50335","3","noise","","3",""
"50336","","noise","","2",""
"50337","3","noise","","3","2"
"50338","2","temporal","2","2","2"
"50339","","noise","","2",""
"50340","2","noise temporal","","2",""
"50341","","noise","","2",""
"50342","3","noise","","3",""
"50343","2","noise","","2",""
"50344","2","noise","","2",""
"50345","2","noise","","3",""
"50346","3","noise","","2",""
"50347","3","noise","","2",""
"50348","2","noise temporal","","2",""
"50349","3","noise scalp","","2",""
"50350","2","noise","","2",""
"50351","2","noise","2","2","2"
"50352","3","noise","","3","2"
"50353","3","noise temporal","","3","2"
"50354","3","noise","","3","3"
"50355","2","noise temporal","","2",""
"50356","3","noise temporal","","2",""
"50357","3","noise","","3",""
"50358","3","noise","","3",""
"50359","3","noise scalp","","3","2"
"50360","3","noise","","2",""
"50361","","","","",""
"50362","2","temporal","","",""
"50363","3","noise","","3",""
